country,year,CL,PR,Status,Region_Code,Region_Name,is_ldc
South Africa,2012,2,2,F,2,Africa,0
"Korea, Rep.",2012,2,1,F,142,Asia,0
South Sudan,2012,5,6,NF,2,Africa,1
Spain,2012,1,1,F,150,Europe,0
Sri Lanka,2012,4,5,PF,142,Asia,0
Saint Kitts and Nevis,2012,1,1,F,19,Americas,0
Saint Lucia,2012,1,1,F,19,Americas,0
Saint Vincent and the Grenadines,2012,1,1,F,19,Americas,0
Sudan,2012,7,7,NF,2,Africa,1
Suriname,2012,2,2,F,19,Americas,0
Sweden,2012,1,1,F,150,Europe,0
Switzerland,2012,1,1,F,150,Europe,0
Syrian Arab Republic,2012,7,7,NF,142,Asia,0
Tajikistan,2012,6,6,NF,142,Asia,0
United Republic of Tanzania,2012,3,3,PF,2,Africa,1
Thailand,2012,4,4,PF,142,Asia,0
Gambia,2012,6,6,NF,2,Africa,1
Timor-Leste,2012,4,3,PF,142,Asia,1
Togo,2012,4,5,PF,2,Africa,1
Tonga,2012,2,3,F,9,Oceania,0
Trinidad and Tobago,2012,2,2,F,19,Americas,0
Tunisia,2012,4,3,PF,2,Africa,0
Turkey,2012,4,3,PF,142,Asia,0
Turkmenistan,2012,7,7,NF,142,Asia,0
Tuvalu,2012,1,1,F,9,Oceania,1
Uganda,2012,4,5,PF,2,Africa,1
Ukraine,2012,3,4,PF,150,Europe,0
United Arab Emirates,2012,6,6,NF,142,Asia,0
United Kingdom,2012,1,1,F,150,Europe,0
United States,2012,1,1,F,19,Americas,0
Uruguay,2012,1,1,F,19,Americas,0
Uzbekistan,2012,7,7,NF,142,Asia,0
Vanuatu,2012,2,2,F,9,Oceania,0
Venezuela (Bolivarian Republic of),2012,5,5,PF,19,Americas,0
Viet Nam,2012,5,7,NF,142,Asia,0
Yemen,2012,6,6,NF,142,Asia,1
Zambia,2012,4,3,PF,2,Africa,1
Zimbabwe,2012,6,6,NF,2,Africa,0
